,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,ItemId
141,2018-08-01 11:57:51,7290003681716,1,גריסי פנינה 500 גרם,"מיה תעשיות מזון בע""מ",ישראל,מיה,גרמים,500.00,100 גרם,0,לא ידוע,4.50,0.0090,1,1,42425
142,2018-08-01 12:09:24,7290000176116,1,"קפה טורקי 1 ק""ג",שטראוס גרופ,ישראל,עלית,קילוגרמים,1.00,"ק""ג     ",0,לא ידוע,76.90,76.9000,1,1,42568
143,2018-08-01 12:50:16,7290002057314,1,מלפפון במלח 15-20  1,קבוצת יבנה,ישראל,קבוצת יבנה,קילוגרמים,1.30,"ק""ג     ",0,לא ידוע,12.90,9.9231,1,1,42625
144,2018-08-01 13:51:30,7290000292694,1,מגן קריסטל 2 ליטר,סנו,ישראל,סנו,ליטרים,2.00,ליטר    ,0,לא ידוע,39.90,19.9500,1,1,42048
145,2018-08-01 13:51:34,7290002768036,1,תיאדנט גדול,לא ידוע,כללי,תיאדנט גדול,מיליליטרים,150.00,"100 מ""ל",0,לא ידוע,13.90,0.0927,1,1,42057
146,2018-08-08 11:37:41,4770237055567,1,גלידה SVALYA אסקימו,פיאנו זיואיגזדס,לטביה,גלידה SVALYA אסקימו,גרמים,63.00,100 גרם,0,לא ידוע,4.90,0.0778,1,1,43622
147,2018-08-26 09:39:44,7290014760448,1,גבינת גלבוע 400 גרם,תנובה,ישראל,תנובה,גרמים,400.00,100 גרם,0,לא ידוע,22.90,0.0572,1,1,17821
148,2018-08-26 09:39:44,7290014760912,1,גוש חלב מהדרין 400 ג,תנובה,ישראל,תנובה,גרמים,400.00,100 גרם,0,לא ידוע,24.90,0.0622,1,1,17844
149,2018-09-16 11:24:12,7290005326585,1,פסטו בזיליקום אוליבי,אוליביה,ישראל,אוליביה,גרמים,180.00,100 גרם,0,לא ידוע,11.90,0.0661,1,1,40653
150,2018-09-16 11:24:13,7290008849845,1,אריסה פיקנטית אוליבי,אוליביה,ישראל,אוליביה,גרמים,185.00,100 גרם,0,לא ידוע,11.90,0.0643,1,1,42758
151,2018-10-03 08:56:47,7290004122348,1,עמק לייט,תנובה,ישראל,תנובה,גרמים,200.00,100 גרם,0,לא ידוע,16.90,0.0845,1,1,40562
152,2018-10-03 08:56:59,7290110321246,1,פרילי אפרסק 1.5% 125,תנובה,ישראל,פרילי,גרמים,125.00,100 גרם,0,לא ידוע,3.30,0.0264,1,1,34420
153,2018-10-04 12:53:07,7290101551362,1,פלפלים חריפים 350 גר,שטראוס גרופ,ישראל,שטראוס,גרמים,350.00,100 גרם,0,לא ידוע,14.90,0.0426,1,1,53732
154,2018-10-07 13:07:08,7290014397705,1,פוליווקס פרקט 2 ליטר,סנו,ישראל,פוליוויקס,ליטרים,2.00,ליטר    ,0,לא ידוע,19.90,9.9500,1,1,9588
155,2018-10-08 13:20:29,7290015395045,1,קינואה 400 גרם,"שקדיה גבע תעשיות בע""",ישראל,שקדיה,גרמים,400.00,100 גרם,0,לא ידוע,9.90,0.0248,1,1,2970
156,2018-10-14 09:28:34,7290004125738,1,שמנת עמידה להקצפה 32,תנובה,ישראל,השף הלבן,מיליליטרים,250.00,"100 מ""ל",0,לא ידוע,6.00,0.0240,1,1,40582
157,2018-10-14 09:32:43,7290100703649,1,קמח מלא חיטה 80% ללא,"שטיבל בע""מ",ישראל,סוגת,קילוגרמים,1.00,"ק""ג     ",0,לא ידוע,4.90,4.9000,1,1,53875
158,2018-10-15 09:34:11,7290110321284,1,קוטג' בקטנה 9% מהדרי,תנובה,ישראל,תנובה,גרמים,100.00,100 גרם,0,לא ידוע,2.50,0.0250,1,1,35096
159,2018-10-15 12:01:19,7290014763579,1,מעדן סויה ביו פירות,תנובה,ישראל,תנובה,מיליליטרים,125.00,"100 מ""ל",0,לא ידוע,3.70,0.0296,1,1,35844
160,2018-10-18 12:57:14,7290000134314,1,פיצה תערובת תיבול 12,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,120.00,100 גרם,0,לא ידוע,8.90,0.0742,1,1,40815
161,2018-10-18 12:57:16,7290000134833,1,כמון 100 גרם מיכל גד,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,100.00,100 גרם,0,לא ידוע,8.90,0.0890,1,1,40825
162,2018-10-18 12:57:16,7290000134864,1,פפריקה חריפה 100 גרם,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,100.00,100 גרם,0,לא ידוע,8.90,0.0890,1,1,40828
163,2018-10-18 12:57:18,7290011964702,1,שוארמה ללא מונוסודיו,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,100.00,100 גרם,0,לא ידוע,8.90,0.0890,1,1,20628
164,2018-10-18 12:57:22,7290014217492,1,פילדלפיה תערובת 100ג,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,100.00,100 גרם,0,לא ידוע,8.90,0.0890,1,1,29015
165,2018-10-18 12:57:52,7290111932083,1,מאסטר שף שימורי גרעי,סאן סוויט,תאילנד,מאסטר שף,גרמים,425.00,100 גרם,0,לא ידוע,5.90,0.0139,1,1,53926
166,2018-10-23 12:17:51,7290000453781,1,שמרים יבשים שמרית 12,"פאקא תעשיות בע""מ",פורטוגל,שמרית,גרמים,125.00,100 גרם,0,לא ידוע,5.90,0.0472,1,1,53954
167,2018-10-24 15:01:28,7290101551614,1,מארז ציטוס קראנצ' גב,שטראוס פריטו ליי (מל,ישראל,עלית,גרמים,240.00,100 גרם,0,לא ידוע,13.90,0.0579,1,1,53998
168,2018-10-29 16:51:09,7290000208367,1,עגבניות מרוסקות בזיל,זנלכל,ישראל,עגבניות מרוסקות 800 גרם,גרמים,800.00,100 גרם,0,לא ידוע,6.90,0.0086,1,1,54086
169,2018-10-30 10:04:03,7290000208459,1,"לקט תפו""א יכין 550 ג",זנלכל,ישראל,"לקט תפו""א יכין 550 ג",גרמים,550.00,100 גרם,0,לא ידוע,6.90,0.0125,1,1,54097
170,2018-10-31 12:55:10,7290017105062,1,חומוס יכין 200 גרם,זנלכל,ישראל,חומוס יכין 200 גרם,גרמים,200.00,100 גרם,0,לא ידוע,3.50,0.0175,1,1,54116
171,2018-10-31 12:55:11,7290017105079,1,שעועית אפויה יכין 20,זנלכל,ישראל,שעועית אפויה יכין 20,גרמים,200.00,100 גרם,0,לא ידוע,3.50,0.0175,1,1,54117
172,2018-10-31 12:55:11,7290017105086,1,שעועית צ'ילי יכין 20,זנלכל,ישראל,שעועית צ'ילי יכין 20,גרמים,200.00,100 גרם,0,לא ידוע,3.50,0.0175,1,1,54122
173,2018-10-31 12:55:12,7290017105116,1,תורמוס יכין 200 גרם,זנלכל,ישראל,תורמוס יכין 200 גרם,גרמים,200.00,100 גרם,0,לא ידוע,3.50,0.0175,1,1,54125
174,2018-11-01 11:06:11,7290014910386,1,קורנישונים במלח 690,יוניקורן פיקלס פרייב,הודו,קורנישונים במלח 690,גרמים,360.00,100 גרם,0,לא ידוע,8.90,0.0247,1,1,30280
175,2018-11-08 13:58:26,7290010945146,1,קוטג' 3% 250 גרם- נע,טרה,ישראל,טרה,גרמים,250.00,100 גרם,0,לא ידוע,5.30,0.0212,1,1,15191
176,2018-11-11 11:24:04,7290107937542,1,משקה אקטיביה תות 1.2,שטראוס גרופ,ישראל,שטראוס,גרמים,268.00,100 גרם,0,לא ידוע,4.90,0.0183,1,1,27658
